"BASEPIC","TL","TT","TR","ML","MM","MR","BL","BB","BR","Field10"
"CS15- 2 1 35 H 000000","","","","","","","","","",""
"STRIKE-CRUISER 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"100K 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL 23 37 35 H 000000","","","","","","","","","",""
"J 23 43 35 H 000000","","","","","","","","","",""
"G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"11X100 45 19 35 H 000000","","","","","","","","","",""
"10 45 25 35 H 000000","","","","","","","","","",""
"821 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"CS-CruiserStrike-12.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#CH14 Cruiser Heavy  100kdt J2 2G 11","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"cruiser.bmp c c D0D0D0","","","","","","","","","",""
"CH14- 2 1 35 H 000000","","","","","","","","","",""
"HEAVY-CRUISER 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"100K 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL11 23 37 35 H 000000","","","","","","","","","",""
"J2 23 43 35 H 000000","","","","","","","","","",""
"2G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"15X100 45 19 35 H 000000","","","","","","","","","",""
"0 45 25 35 H 000000","","","","","","","","","",""
"2627 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"CH-CruiserHeavy-11.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#CH15 Cruiser Heavy  100kdt J3 2G 12","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"cruiser.bmp c c D0D0D0","","","","","","","","","",""
"CH15- 2 1 35 H 000000","","","","","","","","","",""
"HEAVY-CRUISER 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"100K 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL12 23 37 35 H 000000","","","","","","","","","",""
"J3 23 43 35 H 000000","","","","","","","","","",""
"2G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"25X100 45 19 35 H 000000","","","","","","","","","",""
"30 45 25 35 H 000000","","","","","","","","","",""
"995 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"CH-CruiserHeavy-12.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#CJ15 Cruiser Imperial 100kdt J6 2G 12","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"cruiser.bmp c c D0D0D0","","","","","","","","","",""
"CJ15- 2 1 35 H 000000","","","","","","","","","",""
"IMPERIAL-CRUISER 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"100K 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL12 23 37 35 H 000000","","","","","","","","","",""
"J6 23 43 35 H 000000","","","","","","","","","",""
"2G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"10X100 45 19 35 H 000000","","","","","","","","","",""
"10 45 25 35 H 000000","","","","","","","","","",""
"588 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"CJ-CruiserImperial-12.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#VF11 Carrier Fleet  100kdt J2 1G ","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"carrier.bmp c c D0D0D0","","","","","","","","","",""
"VF11- 2 1 35 H 000000","","","","","","","","","",""
"FLEET-CARRIER 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"100K 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL9+ 23 37 35 H 000000","","","","","","","","","",""
"J2 23 43 35 H 000000","","","","","","","","","",""
"1G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"12X100 45 19 35 H 000000","","","","","","","","","",""
"200 45 25 35 H 000000","","","","","","","","","",""
"28595 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"VF-FleetCarrier-9.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#VF12 Carrier Fleet  100kdt J2 2G 10","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"carrier.bmp c c D0D0D0","","","","","","","","","",""
"VF12- 2 1 35 H 000000","","","","","","","","","",""
"FLEET-CARRIER 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"100K 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10 23 37 35 H 000000","","","","","","","","","",""
"J2 23 43 35 H 000000","","","","","","","","","",""
"2G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"14X100 45 19 35 H 000000","","","","","","","","","",""
"200 45 25 35 H 000000","","","","","","","","","",""
"12759 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"VF-FleetCarrier-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#VS13 Carrier Strike  100kdt J4 1G 10+","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"carrier.bmp c c D0D0D0","","","","","","","","","",""
"VS13- 2 1 35 H 000000","","","","","","","","","",""
"STRIKE-CARRIER 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"100K 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL10+ 23 37 35 H 000000","","","","","","","","","",""
"J4 23 43 35 H 000000","","","","","","","","","",""
"1G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"18X100 45 19 35 H 000000","","","","","","","","","",""
"100 45 25 35 H 000000","","","","","","","","","",""
"18175 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"VS-CarrierStrike-10.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#VS14 Carrier Strike  100kdt J4 1G 11","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"carrier.bmp c c D0D0D0","","","","","","","","","",""
"VS14- 2 1 35 H 000000","","","","","","","","","",""
"STRIKE-CARRIER 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"100K 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL11 23 37 35 H 000000","","","","","","","","","",""
"J4 23 43 35 H 000000","","","","","","","","","",""
"1G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"17X100 45 19 35 H 000000","","","","","","","","","",""
"0 45 25 35 H 000000","","","","","","","","","",""
"18727 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"VS-CarrierStrike-11.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#VS15 Carrier Strike  100kdt J6 1G 12","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"carrier.bmp c c D0D0D0","","","","","","","","","",""
"VS15- 2 1 35 H 000000","","","","","","","","","",""
"STRIKE-CARRIER 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"100K 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL12 23 37 35 H 000000","","","","","","","","","",""
"J6 23 43 35 H 000000","","","","","","","","","",""
"1G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"18X100 45 19 35 H 000000","","","","","","","","","",""
"100 45 25 35 H 000000","","","","","","","","","",""
"4259 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"VS-CarrierStrike-12.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#VP15 Carrier Provincial 30kdt J4 1G 12","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"carrier.bmp c c D0D0D0","","","","","","","","","",""
"VP15- 2 1 35 H 000000","","","","","","","","","",""
"PROVINCIAL- 2 7 35 H 000000","","","","","","","","","",""
"CARRIER 2 13 35 H 000000","","","","","","","","","",""
"30K 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL12 23 37 35 H 000000","","","","","","","","","",""
"J4 23 43 35 H 000000","","","","","","","","","",""
"1G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"32X30 45 19 35 H 000000","","","","","","","","","",""
"30 45 25 35 H 000000","","","","","","","","","",""
"999 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"VP-CarrierProvincial-12.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#VL15 Carrier Light  10kdt J4 1G 12","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"carrier.bmp c c D0D0D0","","","","","","","","","",""
"VL15- 2 1 35 H 000000","","","","","","","","","",""
"LIGHT-CARRIER 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"DT 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL12 23 37 35 H 000000","","","","","","","","","",""
"J4 23 43 35 H 000000","","","","","","","","","",""
"1G 23 49 35 H 000000","","","","","","","","","",""
"#MEN 45 1 35 H 000000","","","","","","","","","",""
"#FLEET 45 7 35 H 000000","","","","","","","","","",""
"#SHIPS 45 13 35 H 000000","","","","","","","","","",""
"30X10 45 19 35 H 000000","","","","","","","","","",""
"30 45 25 35 H 000000","","","","","","","","","",""
"622 45 31 35 H 000000","","","","","","","","","",""
"#FP 45 37 35 H 000000","","","","","","","","","",""
"#BEAM 45 43 35 H 000000","","","","","","","","","",""
"#SKILL 45 49 35 H 000000","","","","","","","","","",""
"VL-CarrierLight-12.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"#TV11 Tanker Vehicle 10kdt J0 1G 9+","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"tanker.bmp c c D0D0D0","","","","","","","","","",""
"TV11- 2 1 35 H 000000","","","","","","","","","",""
"TANKER-VEHICLE 2 7 35 H 000000","","","","","","","","","",""
"#CRAFT 2 13 35 H 000000","","","","","","","","","",""
"DT 2 19 35 H 000000","","","","","","","","","",""
"#DR 2 25 35 H 000000","","","","","","","","","",""
"#231 2 31 35 H 000000","","","","","","","","","",""
"#DF 2 37 35 H 000000","","","","","","","","","",""
"#MISS 2 43 35 H 000000","","","","","","","","","",""
"#SKILL 2 49 35 H 000000","","","","","","","","","",""
"#MEN 23 1 35 H 000000","","","","","","","","","",""
"#SQDRN 23 7 35 H 000000","","","","","","","","","",""
"#SHIPS 23 13 35 H 000000","","","","","","","","","",""
"#2319 23 19 35 H 000000","","","","","","","","","",""
"#2325 23 25 35 H 000000","","","","","","","","","",""
"#2331 23 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL9+ 23 37 35 H 000000","","","","","","","","","",""
